gid,estado,cidade,via,hnum,nsvia,latitude,longitude,postcode
732,Aguascalientes,Aguascalientes,CALLE PIRACANTO,455,LAS ARBOLEDAS,21.902553377955467,-102.30554878168377,20020
733,Aguascalientes,Aguascalientes,CALLE TABACHÍN,224,LAS ARBOLEDAS,21.900469827367157,-102.30449579612392,20020
734,Aguascalientes,Aguascalientes,CALLE TABACHÍN,222,LAS ARBOLEDAS,21.90038400385717,-102.30447029596021,20020
735,Aguascalientes,Aguascalientes,CALLE TABACHÍN,220,LAS ARBOLEDAS,21.900309253023142,-102.30444808577343,20020
736,Aguascalientes,Aguascalientes,CALLE TABACHÍN,218,LAS ARBOLEDAS,21.90022970533833,-102.3044244503599,20020
737,Aguascalientes,Aguascalientes,CALLE TABACHÍN,216,LAS ARBOLEDAS,21.90015667342362,-102.30440275095388,20020
738,Aguascalientes,Aguascalientes,CALLE TABACHÍN,214,LAS ARBOLEDAS,21.900088917956165,-102.30438261931914,20020
739,Aguascalientes,Aguascalientes,CALLE TABACHÍN,212,LAS ARBOLEDAS,21.900022601571603,-102.30436291528747,20020
740,Aguascalientes,Aguascalientes,CALLE TABACHÍN,210,LAS ARBOLEDAS,21.899933140449942,-102.30433633448537,20020
741,Aguascalientes,Aguascalientes,CALLE TABACHÍN,208,LAS ARBOLEDAS,21.899870021963327,-102.3043175806621,20020
742,Aguascalientes,Aguascalientes,CALLE TABACHÍN,206,LAS ARBOLEDAS,21.899799908105578,-102.30429674838871,20020
743,Aguascalientes,Aguascalientes,CALLE TABACHÍN,204,LAS ARBOLEDAS,21.899745663775693,-102.30428063129457,20020
744,Aguascalientes,Aguascalientes,CALLE TABACHÍN,202,LAS ARBOLEDAS,21.899657241923347,-102.30425435939145,20020
745,Aguascalientes,Aguascalientes,CALLE MARGIL DE JESÚS,SN,LAS ARBOLEDAS,21.89939779966029,-102.30425425669456,20020
746,Aguascalientes,Aguascalientes,CALLE PIRACANTO,624,LAS ARBOLEDAS,21.899544568807592,-102.30459466669726,20020
747,Aguascalientes,Aguascalientes,CALLE PIRACANTO,305,LAS ARBOLEDAS,21.899647130076776,-102.30462844237363,20020
748,Aguascalientes,Aguascalientes,CALLE PIRACANTO,620,LAS ARBOLEDAS,21.89972779766275,-102.30465500801691,20020
749,Aguascalientes,Aguascalientes,CALLE PIRACANTO,618,LAS ARBOLEDAS,21.89980518477569,-102.30468049335767,20020
750,Aguascalientes,Aguascalientes,CALLE PIRACANTO,616,LAS ARBOLEDAS,21.89989118610674,-102.3047088155922,20020
751,Aguascalientes,Aguascalientes,CALLE PIRACANTO,614,LAS ARBOLEDAS,21.89995249318058,-102.30472900545738,20020
752,Aguascalientes,Aguascalientes,CALLE PIRACANTO,SN,LAS ARBOLEDAS,21.90000764041826,-102.30474716675937,20020
753,Aguascalientes,Aguascalientes,CALLE PIRACANTO,608,LAS ARBOLEDAS,21.900080920967458,-102.30477129981746,20020
754,Aguascalientes,Aguascalientes,CALLE PIRACANTO,606,LAS ARBOLEDAS,21.900166576098876,-102.30479950815916,20020
755,Aguascalientes,Aguascalientes,CALLE PIRACANTO,SN,LAS ARBOLEDAS,21.900244576796695,-102.3048251957397,20020
756,Aguascalientes,Aguascalientes,CALLE PIRACANTO,602,LAS ARBOLEDAS,21.90035679083623,-102.30486215068301,20020
757,Aguascalientes,Aguascalientes,CALLE ABEDUL,905,LAS ARBOLEDAS,21.90054091249581,-102.30487663128687,20020
758,Aguascalientes,Aguascalientes,CALLE ABEDUL,903,LAS ARBOLEDAS,21.90056400883281,-102.30478598524736,20020
759,Aguascalientes,Aguascalientes,CALLE ABEDUL,SN,LAS ARBOLEDAS,21.900590757394014,-102.3046809947426,20020
760,Aguascalientes,Aguascalientes,CALLE ABEDUL,SN,LAS ARBOLEDAS,21.900614898908845,-102.30458611697414,20020
761,Aguascalientes,Aguascalientes,CALLE MARGIL DE JESÚS,1903,LAS ARBOLEDAS,21.899271029816106,-102.30437908538606,20020
762,Aguascalientes,Aguascalientes,CALLE MARGIL DE JESÚS,SN,LAS ARBOLEDAS,21.899303435023416,-102.30425309932356,20020
763,Aguascalientes,Aguascalientes,CALLE TABACHÍN,130,LAS ARBOLEDAS,21.899120174484956,-102.30409589943396,20020
764,Aguascalientes,Aguascalientes,CALLE TABACHÍN,128,LAS ARBOLEDAS,21.899038915357437,-102.30406984441657,20020
